1046k  61.185.200.157:10000
1018k  36.47.83.11:8008
1001k  36.47.83.11:8020
993k  36.47.83.11:8021
979k  36.47.83.11:8010
960k  36.47.83.11:8022
951k  36.47.83.11:8013
927k  117.32.84.221:8020
925k  36.47.83.11:8014
924k  36.47.83.11:8011
921k  117.32.84.221:8010
909k  117.32.84.221:8014
895k  117.32.84.221:8008
882k  117.32.84.221:8013
878k  117.32.84.221:8011
860k  117.32.84.221:8021
842k  117.32.84.221:8025
830k  117.32.85.74:8011
821k  117.32.85.74:8014
811k  117.32.84.221:8022
803k  117.32.85.74:8013
582k  117.32.85.74:8021
350k  117.32.85.74:8025
153k  117.32.85.74:8008
111k  117.32.85.74:8022
