1288k  110.179.80.171:8082
1208k  113.26.164.2:8083
1102k  223.10.33.185:8084
1061k  223.12.15.85:8082
1060k  110.179.80.249:8082
1058k  110.178.52.60:8083
1057k  223.10.25.194:8084
1056k  113.26.164.2:8082
1055k  223.10.34.11:8082
1054k  110.179.80.249:8084
1053k  223.10.33.185:8083
1052k  223.10.29.4:8082
1052k  223.10.25.194:8082
1043k  1.70.34.204:8082
1041k  223.12.15.85:8083
1041k  223.10.57.130:8082
1041k  223.10.34.11:8083
1041k  223.10.33.185:8085
1041k  223.10.29.4:8084
1041k  110.178.52.60:8084
1041k  110.178.52.60:8082
1041k  1.70.34.204:8085
1040k  223.10.25.194:8083
1039k  223.10.34.11:8085
1035k  223.10.25.194:8085
1033k  223.10.29.4:8085
1032k  223.12.15.85:8084
1032k  110.179.80.249:8083
1032k  110.179.80.171:8083
1031k  223.10.33.185:8082
1030k  110.178.52.60:8085
1024k  223.10.34.11:8084
1023k  223.10.29.4:8083
1023k  1.70.34.204:8084
1017k  223.10.57.121:8082
