1619k  118.81.49.40:8085
1595k  183.185.222.245:8082
1380k  183.185.222.245:8083
1377k  118.81.49.40:8082
1368k  118.81.49.40:8083
1356k  183.185.222.245:8085
1296k  118.81.30.18:8083
1274k  118.81.30.18:8084
1206k  118.81.30.18:8085
1102k  171.117.73.10:8085
1076k  171.117.73.10:8083
1072k  118.81.192.46:8085
1067k  118.81.192.46:8083
1005k  171.116.96.64:8085
995k  183.185.222.245:8084
993k  60.220.167.245:8084
991k  118.81.49.40:8084
983k  60.220.167.245:8085
982k  60.223.72.17:8005
982k  60.223.72.17:8003
982k  171.117.73.10:8082
981k  183.191.5.16:8005
981k  118.81.30.18:8082
980k  60.223.72.17:8004
980k  183.191.5.16:8003
980k  183.191.4.242:8005
978k  183.189.28.182:8000
977k  60.223.72.17:8001
972k  60.220.167.245:8083
972k  183.191.4.242:8003
972k  118.81.192.46:8082
968k  183.191.4.242:8004
965k  60.220.167.67:8085
965k  183.191.4.242:8001
963k  183.191.5.16:8001
961k  183.191.5.16:8004
952k  60.220.167.245:8082
949k  171.116.96.64:8083
906k  171.116.96.64:8084
882k  171.116.96.64:8082
828k  183.185.67.213:8085
812k  60.220.167.67:8083
777k  118.81.48.104:8084
737k  118.81.48.104:8082
731k  183.185.67.213:8083
713k  60.220.167.67:8084
640k  118.81.48.104:8085
589k  171.117.245.185:8085
558k  183.185.67.213:8084
541k  171.117.245.185:8082
467k  60.220.167.67:8082
457k  118.81.48.104:8083
441k  183.185.67.213:8082
417k  183.185.221.116:8085
342k  171.117.245.185:8083
303k  171.117.245.185:8084
284k  183.185.221.116:8084
