2214k  125.125.180.16:20000
2196k  125.125.180.16:1720
2192k  125.125.180.16:1452
2179k  125.125.180.16:25005
2178k  125.125.180.16:3097
2138k  125.125.180.16:50060
2136k  125.125.180.16:49671
2127k  125.125.180.16:9162
2127k  125.125.180.16:8888
1917k  125.125.180.16:161
1884k  125.125.180.16:9183
1861k  125.125.180.16:18083
1850k  125.125.180.16:58888
1835k  125.125.180.16:7000
1733k  125.125.180.16:8848
1731k  125.125.180.16:7443
1722k  115.198.117.218:9999
1706k  125.125.180.16:3095
1696k  125.125.180.16:8889
1674k  115.230.209.108:9999
1599k  125.125.180.16:44305
1431k  125.125.180.16:1951
317k  125.125.180.16:9999
